1234 ____;5567 X___;5878 XO__;8668 X___;8777 XXXX;;;
1234 ____;5567 X___;5878 XO__;8668 XXOO;8866 XXXX;;;
1234 ____;5567 X___;5878 XO__;8668 XXXX;;;;
1234 ____;5567 X___;5878 XOO_;7887 XO__;8588 XXXX;;;
1234 ____;5567 X___;5878 XOO_;7887 XXX_;8887 XXXX;;;
1234 ____;5567 X___;5878 XOO_;7887 XXXX;;;;
1234 ____;5567 X___;5878 XX__;6868 X___;7877 XXXX;;;
1234 ____;5567 X___;5878 XX__;6868 XXX_;8868 XXXX;;;
1234 ____;5567 X___;5878 XX__;6868 XXXX;;;;
1234 ____;5567 X___;5878 XXO_;8877 XXXX;;;;
1234 ____;5567 X___;5878 XXX_;5888 XXXX;;;;
1234 ____;5567 XO__;5858 ____;6766 OO__;7677 XXXX;;;
1234 ____;5567 XO__;5858 ____;6766 XOO_;6677 XXXX;;;
1234 ____;5567 XO__;5858 ____;6766 XX__;6777 XXXX;;;
1234 ____;5567 XO__;5858 ____;6766 XXOO;7666 XXXX;;;
1234 ____;5567 XO__;5858 ____;6766 XXX_;7766 XXXX;;;
1234 ____;5567 XO__;5858 ____;6766 XXXX;;;;
1234 ____;5567 XO__;5858 O___;6787 X___;6665 XXXX;;;
1234 ____;5567 XO__;5858 O___;6787 XOO_;8766 XXXX;;;
1234 ____;5567 XO__;5858 O___;6787 XOOO;8677 XXXX;;;
1234 ____;5567 XO__;5858 O___;6787 XXOO;7687 XXXX;;;
1234 ____;5567 XO__;5858 O___;6787 XXX_;6687 XXXX;;;
1234 ____;5567 XO__;5858 O___;6787 XXXX;;;;
1234 ____;5567 XO__;5858 OO__;6586 OOOO;8665 XXXX;;;
1234 ____;5567 XO__;5858 OO__;6586 XO__;8687 XXXX;;;
1234 ____;5567 XO__;5858 OO__;6586 XXXX;;;;
1234 ____;5567 XO__;5858 OOO_;8586 XXXX;;;;
1234 ____;5567 XO__;5858 OOOO;8585 XXXX;;;;
1234 ____;5567 XO__;5858 X___;6768 X___;7757 XXXX;;;
1234 ____;5567 XO__;5858 X___;6768 XOO_;6877 XXXX;;;
1234 ____;5567 XO__;5858 X___;6768 XOOO;7866 XXXX;;;
1234 ____;5567 XO__;5858 X___;6768 XXOO;7668 XXXX;;;
1234 ____;5567 XO__;5858 X___;6768 XXX_;7768 XXXX;;;
1234 ____;5567 XO__;5858 X___;6768 XXXX;;;;
1234 ____;5567 XO__;5858 XO__;1787 O___;6865 XXXX;;;
1234 ____;5567 XO__;5858 XO__;1787 OOO_;7578 XXXX;;;
1234 ____;5567 XO__;5858 XO__;1787 X___;5686 XXXX;;;
1234 ____;5567 XO__;5858 XO__;1787 XO__;8768 XXXX;;;
1234 ____;5567 XO__;5858 XO__;1787 XX__;6887 XXXX;;;
1234 ____;5567 XO__;5858 XO__;1787 XXO_;8757 XXXX;;;
1234 ____;5567 XO__;5858 XOO_;6588 OOOO;8865 XXXX;;;
1234 ____;5567 XO__;5858 XOO_;6588 XO__;8555 XXXX;;;
1234 ____;5567 XO__;5858 XOO_;6588 XXO_;8578 XXXX;;;
1234 ____;5567 XO__;5858 XOO_;6588 XXX_;7588 XXXX;;;
1234 ____;5567 XO__;5858 XOO_;6588 XXXX;;;;
1234 ____;5567 XO__;5858 XX__;5778 OOOO;7857 XXXX;;;
1234 ____;5567 XO__;5858 XX__;5778 XO__;7868 XXXX;;;
1234 ____;5567 XO__;5858 XX__;5778 XXXX;;;;
1234 ____;5567 XO__;5858 XXO_;5688 OOO_;8857 XXXX;;;
1234 ____;5567 XO__;5858 XXO_;5688 XXOO;5886 XXXX;;;
1234 ____;5567 XO__;5858 XXO_;5688 XXX_;5788 XXXX;;;
1234 ____;5567 XO__;5858 XXO_;5688 XXXX;;;;
1234 ____;5567 XO__;5858 XXOO;5885 OOOO;8558 XXXX;;;
1234 ____;5567 XO__;5858 XXOO;5885 XXXX;;;;
1234 ____;5567 XO__;5858 XXX_;5855 XX__;5878 XXXX;;;
1234 ____;5567 XO__;5858 XXX_;5855 XXXX;;;;
1234 ____;5567 XO__;5858 XXXX;;;;;
1234 ____;5567 XOO_;5676 OO__;1658 OO__;7585 XXXX;;;
1234 ____;5567 XOO_;5676 OO__;1658 OOO_;6585 XXXX;;;
1234 ____;5567 XOO_;5676 OO__;1658 X___;7555 XXXX;;;
1234 ____;5567 XOO_;5676 OO__;1658 XO__;6555 XXXX;;;
1234 ____;5567 XOO_;5676 OO__;1658 XX__;7558 XXXX;;;
1234 ____;5567 XOO_;5676 OO__;1658 XXO_;6558 XXXX;;;
1234 ____;5567 XOO_;5676 OOO_;6757 OOO_;7865 XXXX;;;
1234 ____;5567 XOO_;5676 OOO_;6757 XOO_;8765 XXXX;;;
1234 ____;5567 XOO_;5676 OOO_;6757 XOOO;7765 XXXX;;;
1234 ____;5567 XOO_;5676 OOO_;6757 XXX_;6857 XXXX;;;
1234 ____;5567 XOO_;5676 OOO_;6757 XXXX;;;;
1234 ____;5567 XOO_;5676 OOOO;6765 XXXX;;;;
1234 ____;5567 XOO_;5676 XO__;5758 OOO_;7575 XXXX;;;
1234 ____;5567 XOO_;5676 XO__;5758 OOOO;8575 XXXX;;;
1234 ____;5567 XOO_;5676 XO__;5758 XOO_;8556 XXXX;;;
1234 ____;5567 XOO_;5676 XO__;5758 XXOO;5785 XXXX;;;
1234 ____;5567 XOO_;5676 XO__;5758 XXX_;5755 XXXX;;;
1234 ____;5567 XOO_;5676 XO__;5758 XXXX;;;;
1234 ____;5567 XOO_;5676 XOO_;6578 OOO_;7657 XXXX;;;
1234 ____;5567 XOO_;5676 XOO_;6578 OOOO;8657 XXXX;;;
1234 ____;5567 XOO_;5676 XOO_;6578 XOOO;7586 XXXX;;;
