7171 ____;2266 XX__;6836 ____;4452 XX__;2252 XXXX;;;;;
2377 ____;1455 XX__;6441 XX__;7865 ____;1411 XXXX;;;;;
2377 XX__;1247 X___;8533 ____;7676 XXOO;6677 XXXX;;;;;
2377 XXX_;2237 XXOO;2327 XXXX;;;;;;;
1177 ____;3344 X___;3288 X___;2524 OOOO;5242 XXXX;;;;;
1177 X___;3547 ____;1252 XX__;1266 XXOO;1662 XXXX;;;;;
1177 XX__;1215 XX__;4672 ____;3688 ____;1111 XXXX;;;;;
7654 X___;2211 ____;6388 X___;7533 ____;6666 ____;4484 XXXX;;;;
7171 ____;4466 ____;8285 XXX_;2325 XXO_;8225 XXOO;2285 XXXX;;;;
1177 ____;3366 ____;4248 XOO_;2842 XOOO;2428 XOOO;2284 XXXX;;;;
7654 ____;3881 XOO_;1833 XXOO;1383 XXXX;;;;;;
7654 XXOO;5646 XXO_;7645 XOOO;5674 XXXX;;;;;;
7654 XOOO;7576 XOO_;4756 OOOO;7465 XXXX;;;;;;
7171 ____;4334 XXX_;4345 XOOO;4534 XXXX;;;;;;
1177 ____;5522 XXX_;2582 XOOO;5822 XXXX;;;;;;
8348 ____;5576 ____;2223 X___;4123 XX__;1121 XXXX;;;;;
8348 X___;2841 ____;5656 X___;5737 XXOO;5377 XXXX;;;;;
7654 ____;2338 X___;8311 X___;2221 XXOO;2212 XXXX;;;;;
7654 X___;1881 X___;7284 ____;1353 XXOO;3351 XXXX;;;;;
7654 XX__;2156 ____;3883 ____;7475 XXX_;7474 XXXX;;;;;
7171 ____;6688 X___;5538 XX__;4522 ____;3338 XXXX;;;;;
7171 XX__;6113 X___;7158 XXOO;7185 XOOO;5178 XXXX;;;;;
2377 X___;7316 ____;4488 ____;5256 XX__;2252 XXXX;;;;;
1177 ____;3636 ____;5828 XXX_;5242 XX__;5848 XXXX;;;;;
1177 X___;8124 XX__;8263 ____;5563 ____;4144 XXXX;;;;;
1177 XX__;5747 X___;8127 XXOO;1827 XOOO;2187 XXXX;;;;;
7654 X___;1212 X___;1684 XX__;1443 XXOO;1434 XXOO;1344 XXXX;;;;
7171 ____;4554 ____;8826 OOO_;3682 XOOO;6283 XOOO;3268 XXXX;;;;
1177 ____;4334 X___;8554 XX__;5624 XOOO;6254 XOOO;2564 XXXX;;;;
8348 ____;6717 X___;1251 XXO_;2211 XXOO;1212 XXXX;;;;;
8348 X___;5846 ____;2211 XXO_;2312 XXOO;2321 XXXX;;;;;
8348 XX__;2688 X___;7538 XXOO;7358 XXXX;;;;;;
8348 XOO_;8434 OOOO;4843 XXXX;;;;;;;
7654 ____;3318 XOO_;1381 XX__;1323 XXOO;1332 XXXX;;;;;
7654 X___;1212 ____;5838 XXO_;5853 XXOO;5358 XXXX;;;;;
7654 XX__;6824 XXO_;2346 OOOO;3624 XXXX;;;;;;
7654 XOOO;5457 OOO_;7546 OOOO;4675 XXXX;;;;;;
7654 OOO_;4866 X___;5276 OOOO;2567 XXOO;2765 XXXX;;;;;
7171 ____;5544 X___;2243 XOO_;2634 XXOO;6234 XOOO;2364 XXXX;;;;
7171 X___;7256 ____;4124 XX__;4133 XXX_;4138 XXOO;4183 XXXX;;;;
7171 XX__;7327 ____;1454 XX__;1151 XXXX;;;;;;
2377 ____;1164 XOO_;1646 XX__;1651 XXOO;1615 XXXX;;;;;
2377 X___;7386 ____;4141 ____;5245 X___;2222 XXXX;;;;;
2377 XX__;7647 ____;8853 XX__;2353 XXXX;;;;;;
2377 XOO_;3237 OOOO;7323 XXXX;;;;;;;
1177 ____;4554 ____;6223 XX__;2828 XX__;6826 X___;2222 XXXX;;;;
1177 X___;4876 ____;1212 XXO_;1522 XXOO;1225 XXXX;;;;;
1177 XX__;4121 XOOO;1142 XXXX;;;;;;;
1177 XXOO;1775 XXO_;1717 XXXX;;;;;;;
7654 X___;8228 XX__;7232 ____;6162 ____;8558 XXX_;8858 XXXX;;;;
7171 ____;3344 ____;8268 X___;6555 XX__;6665 X___;2255 XXXX;;;;
1177 ____;5533 X___;5466 ____;8232 XOO_;8823 XOOO;2838 XXXX;;;;
8348 ____;6716 XX__;1517 XX__;8256 XX__;1216 XXXX;;;;;
8348 X___;5846 ____;2772 XOO_;7322 XXOO;2327 XXXX;;;;;
8348 XX__;7638 OOO_;2475 ____;8316 XXOO;8361 XXXX;;;;;
7654 ____;8128 X___;1331 XOO_;3111 XXOO;1113 XXXX;;;;;
7654 X___;2323 ____;4881 XOO_;1484 XXOO;1844 XXXX;;;;;
7171 ____;8833 ____;2462 XXO_;2425 XXX_;2424 XXXX;;;;;
7171 XOO_;7718 XX__;3442 ____;5856 ____;1711 XXXX;;;;;
2377 ____;1418 XX__;8446 XX__;1564 XX__;1444 XXXX;;;;;
2377 X___;2718 ____;5445 XOO_;5354 XXOO;4355 XXXX;;;;;
1177 ____;8383 XX__;8632 XOOO;2382 XXO_;2683 XXXX;;;;;
1177 XX__;2747 XX__;4168 ____;7574 XX__;7777 XXXX;;;;;
8348 XXO_;5438 XOOO;4358 XOOO;3548 XXXX;;;;;;
7654 XXOO;5464 OOO_;4657 XOOO;7645 XXXX;;;;;;
7171 X___;6281 XXOO;6882 XXX_;6182 XXXX;;;;;;
2377 ____;4614 XXX_;1661 XX__;4664 XXXX;;;;;;
1177 X___;1684 XXOO;1668 XXX_;1648 XXXX;;;;;;
8348 ____;1712 X___;5661 X___;5525 X___;5777 ____;2622 XXXX;;;;
7171 ____;2882 X___;2446 X___;6863 X___;5544 ____;2333 XXXX;;;;
2377 ____;4885 XX__;1455 OO__;6814 OOOO;4186 XXOO;4681 XXXX;;;;
1177 ____;4224 XX__;6434 ____;5858 X___;5222 XXO_;2228 XXXX;;;;
8348 ____;6772 OO__;2616 XXOO;2661 XXOO;2166 XXXX;;;;;
8348 X___;6385 ____;2277 XX__;1222 XX__;1247 XXXX;;;;;
8348 XX__;5818 X___;7638 XX__;4627 ____;3338 XXXX;;;;;
8348 XOO_;4438 XXOO;8434 XXXX;;;;;;;
8348 OOO_;4833 XX__;6723 ____;1515 ____;4884 XXXX;;;;;
7654 ____;2383 OO__;3121 XXOO;3211 XXOO;3112 XXXX;;;;;
7654 X___;3113 ____;8825 OOO_;5258 XXOO;2558 XXXX;;;;;
