1123 O___;2445 O___;3364 OO__;4616 X___;5536 XXXX;;
1123 O___;2445 O___;3364 OO__;4616 XO__;6536 XXXX;;
1123 O___;2445 O___;3364 OO__;4616 XX__;5636 XXXX;;
1123 O___;2445 O___;3364 OO__;4616 XXXX;;;
1123 O___;2445 O___;3364 OOO_;4636 XXXX;;;
1123 O___;2445 O___;3364 X___;6266 X___;5561 XXXX;;
1123 O___;2445 O___;3364 X___;6266 XO__;5661 XXXX;;
1123 O___;2445 O___;3364 X___;6266 XX__;6561 XXXX;;
1123 O___;2445 O___;3364 X___;6266 XXOO;6662 XXXX;;
1123 O___;2445 O___;3364 X___;6266 XXX_;6262 XXXX;;
1123 O___;2445 O___;3364 X___;6266 XXXX;;;
1123 O___;2445 O___;3364 XO__;6356 OO__;4661 XXXX;;
1123 O___;2445 O___;3364 XO__;6356 XO__;6614 XXXX;;
1123 O___;2445 O___;3364 XO__;6356 XXO_;3556 XXXX;;
1123 O___;2445 O___;3364 XO__;6356 XXOO;3656 XXXX;;
1123 O___;2445 O___;3364 XO__;6356 XXX_;5356 XXXX;;
1123 O___;2445 O___;3364 XO__;6356 XXXX;;;
1123 O___;2445 O___;3364 XOO_;3536 XO__;6634 XXXX;;
1123 O___;2445 O___;3364 XOO_;3536 XXOO;5336 XXXX;;
1123 O___;2445 O___;3364 XOO_;3536 XXXX;;;
1123 O___;2445 O___;3364 XOOO;4336 XXXX;;;
1123 O___;2445 O___;3364 XX__;3566 XXOO;5366 XXXX;;
1123 O___;2445 O___;3364 XX__;3566 XXXX;;;
1123 O___;2445 O___;3364 XXO_;3356 XX__;4366 XXXX;;
1123 O___;2445 O___;3364 XXO_;3356 XXXX;;;
1123 O___;2445 O___;3364 XXOO;3634 XXOO;6334 XXXX;;
1123 O___;2445 O___;3364 XXOO;3634 XXXX;;;
1123 O___;2445 O___;3364 XXX_;3664 XX__;3334 XXXX;;
1123 O___;2445 O___;3364 XXX_;3664 XXOO;6364 XXXX;;
1123 O___;2445 O___;3364 XXX_;3664 XXXX;;;
1123 O___;2445 O___;3364 XXXX;;;;
1123 O___;2445 OO__;6562 ____;4334 XXXX;;;
1123 O___;2445 OO__;6562 O___;3354 X___;4614 XXXX;;
1123 O___;2445 OO__;6562 O___;3354 XO__;4634 XXXX;;
1123 O___;2445 OO__;6562 O___;3354 XXOO;5334 XXXX;;
1123 O___;2445 OO__;6562 O___;3354 XXX_;5354 XXXX;;
1123 O___;2445 OO__;6562 O___;3354 XXXX;;;
1123 O___;2445 OO__;6562 OO__;4356 OOO_;5614 XXXX;;
1123 O___;2445 OO__;6562 OO__;4356 OOOO;5634 XXXX;;
1123 O___;2445 OO__;6562 OO__;4356 XOOO;3654 XXXX;;
1123 O___;2445 OO__;6562 OO__;4356 XXO_;4651 XXXX;;
1123 O___;2445 OO__;6562 OO__;4356 XXXX;;;
1123 O___;2445 OO__;6562 OOO_;5256 XXXX;;;
1123 O___;2445 OO__;6562 X___;4551 X___;4364 XXXX;;
1123 O___;2445 OO__;6562 X___;4551 XO__;3534 XXXX;;
1123 O___;2445 OO__;6562 X___;4551 XOO_;5534 XXXX;;
1123 O___;2445 OO__;6562 X___;4551 XOOO;5514 XXXX;;
1123 O___;2445 OO__;6562 X___;4551 XXO_;3554 XXXX;;
1123 O___;2445 OO__;6562 X___;4551 XXXX;;;
1123 O___;2445 OO__;6562 XO__;5364 OOO_;4516 XXXX;;
1123 O___;2445 OO__;6562 XO__;5364 OOOO;4536 XXXX;;
1123 O___;2445 OO__;6562 XO__;5364 X___;5252 XXXX;;
1123 O___;2445 OO__;6562 XO__;5364 XXOO;6354 XXXX;;
1123 O___;2445 OO__;6562 XO__;5364 XXXX;;;
1123 O___;2445 OO__;6562 XOO_;4266 OO__;5652 XXXX;;
1123 O___;2445 OO__;6562 XOO_;4266 XXXX;;;
1123 O___;2445 OO__;6562 XOOO;5266 XXOO;6256 XXXX;;
1123 O___;2445 OO__;6562 XOOO;5266 XXXX;;;
1123 O___;2445 OO__;6562 XX__;4561 X___;5552 XXXX;;
1123 O___;2445 OO__;6562 XX__;4561 XOO_;6534 XXXX;;
1123 O___;2445 OO__;6562 XX__;4561 XOOO;6514 XXXX;;
1123 O___;2445 OO__;6562 XX__;4561 XX__;4262 XXXX;;
1123 O___;2445 OO__;6562 XX__;4561 XXO_;3564 XXXX;;
1123 O___;2445 OO__;6562 XX__;4561 XXXX;;;
1123 O___;2445 OO__;6562 XXO_;4662 XO__;6252 XXXX;;
1123 O___;2445 OO__;6562 XXO_;4662 XOOO;6264 XXXX;;
1123 O___;2445 OO__;6562 XXO_;4662 XX__;5262 XXXX;;
1123 O___;2445 OO__;6562 XXO_;4662 XXXX;;;
1123 O___;2445 OO__;6562 XXOO;5662 XXOO;6652 XXXX;;
1123 O___;2445 OO__;6562 XXOO;5662 XXXX;;;
1123 O___;2445 OO__;6562 XXX_;5562 XXOO;6552 XXXX;;
1123 O___;2445 OO__;6562 XXX_;5562 XXXX;;;
1123 O___;2445 OO__;6562 XXXX;;;;
1123 O___;2445 OOO_;4562 OOO_;5254 XXXX;;;
1123 O___;2445 OOO_;4562 OOOO;6254 XXXX;;;
1123 O___;2445 OOO_;4562 XO__;4354 XXXX;;;
1123 O___;2445 OOO_;4562 XOOO;4256 XOOO;5264 XXXX;;
1123 O___;2445 OOO_;4562 XOOO;4256 XXXX;;;
1123 O___;2445 OOO_;4562 XX__;4514 XXX_;4534 XXXX;;
1123 O___;2445 OOO_;4562 XX__;4514 XXXX;;;
1123 O___;2445 OOO_;4562 XXO_;4252 XX__;4264 XXXX;;
1123 O___;2445 OOO_;4562 XXO_;4252 XXXX;;;
1123 O___;2445 OOO_;4562 XXOO;4652 XXXX;;;
1123 O___;2445 OOO_;4562 XXX_;4552 XXXX;;;
1123 O___;2445 OOO_;4562 XXXX;;;;
1123 O___;2445 OOOO;4254 XXXX;;;;
1123 O___;2445 X___;3466 ____;5515 XXXX;;;
1123 O___;2445 X___;3466 O___;5355 XO__;6515 XXXX;;
1123 O___;2445 X___;3466 O___;5355 XX__;5615 XXXX;;
1123 O___;2445 X___;3466 O___;5355 XXOO;5535 XXXX;;
1123 O___;2445 X___;3466 O___;5355 XXX_;5335 XXXX;;
1123 O___;2445 X___;3466 O___;5355 XXXX;;;
1123 O___;2445 X___;3466 OO__;5635 XOOO;6355 XXXX;;
1123 O___;2445 X___;3466 OO__;5635 XX__;6615 XXXX;;
1123 O___;2445 X___;3466 OO__;5635 XXO_;6335 XXXX;;
1123 O___;2445 X___;3466 OO__;5635 XXOO;6535 XXXX;;
1123 O___;2445 X___;3466 OO__;5635 XXXX;;;
1123 O___;2445 X___;3466 OOO_;6635 XX__;6641 XXXX;;
1123 O___;2445 X___;3466 OOO_;6635 XXXX;;;
1123 O___;2445 X___;3466 X___;1353 ____;2262 XXXX;;
1123 O___;2445 X___;3466 X___;1353 OOO_;3535 XXXX;;
1123 O___;2445 X___;3466 X___;1353 XO__;3555 XXXX;;
1123 O___;2445 X___;3466 X___;1353 XOO_;3335 XXXX;;
1123 O___;2445 X___;3466 X___;1353 XXO_;3355 XXXX;;
1123 O___;2445 X___;3466 XO__;3635 X___;2662 XXXX;;
1123 O___;2445 X___;3466 XO__;3635 XOO_;5365 XXXX;;
1123 O___;2445 X___;3466 XO__;3635 XXX_;3655 XXXX;;
1123 O___;2445 X___;3466 XO__;3635 XXXX;;;
1123 O___;2445 X___;3466 XOO_;6365 XXXX;;;
1123 O___;2445 X___;3466 XOOO;6346 XXXX;;;
