2323 XO__;5263 XXOO;5362 OOOO;6253 XXXX;;;;;;
3344 XO__;4114 XXOO;1414 OOOO;4141 XXXX;;;;;;
3224 OO__;4162 OOOO;2641 XOOO;2416 XXXX;;;;;;
6346 OO__;2234 XOOO;2423 XXOO;4223 XXXX;;;;;;
6645 OO__;3453 XOOO;4533 XXOO;3534 XXXX;;;;;;
2535 XO__;4455 XXOO;5445 OOOO;4554 XXXX;;;;;;
3224 XO__;2215 OOOO;5122 XXOO;1522 XXXX;;;;;;
6645 XO__;4325 XXOO;3425 XOOO;4235 XXXX;;;;;;
6543 XO__;6152 XOOO;6215 OOOO;1562 XXXX;;;;;;
2323 X___;5626 XOOO;2566 XXOO;2665 XXXX;;;;;;
2535 O___;3113 OOO_;1341 XXX_;1361 XXXX;;;;;;
6346 O___;1513 OOOO;3151 XXOO;5131 XXXX;;;;;;
6543 OO__;4332 XXOO;2334 XOOO;3432 XXXX;;;;;;
6346 XXX_;6356 XXO_;6345 XXOO;5346 XXXX;;;;;;
6645 XXO_;6651 XXO_;5641 XOO_;6614 XXXX;;;;;;
2311 OOO_;3125 XOOO;1523 OOOO;5132 XXXX;;;;;;
3224 OOO_;2345 XXOO;2435 OOOO;5342 XXXX;;;;;;
6346 OOO_;3654 XXOO;4653 OOOO;3564 XXXX;;;;;;
6543 XXO_;2546 XXO_;2643 XOO_;3542 XXXX;;;;;;
3224 XOO_;2236 XXOO;6232 XOOO;2263 XXXX;;;;;;
4554 OO__;5146 XXOO;5416 XOOO;5641 XXXX;;;;;;
6543 X___;4441 XOO_;1244 XXX_;1144 XXXX;;;;;;
3344 XX__;3124 XXOO;3142 OOOO;1324 XXXX;;;;;;
6543 O___;2124 XOOO;4221 OOOO;2412 XXXX;;;;;;
6346 X___;6512 OOOO;1256 XOOO;5126 XXXX;;;;;;
2323 XO__;3653 XXOO;3356 XOOO;3563 XXXX;;;;;;
4554 XO__;3644 XXOO;3464 OOOO;4643 XXXX;;;;;;
2311 OO__;1662 XXOO;1266 XOOO;6162 XXXX;;;;;;
3224 OO__;6532 OOOO;2365 XOOO;2653 XXXX;;;;;;
6645 OO__;4361 XOOO;1463 OOOO;4136 XXXX;;;;;;
6543 XO__;6214 OOOO;1642 XXOO;2641 XXXX;;;;;;
2323 O___;3441 XXOO;4431 OOOO;3144 XXXX;;;;;;
2323 X___;4613 OOOO;6341 XXOO;1346 XXXX;;;;;;
3344 O___;6553 XXOO;5653 OOOO;6535 XXXX;;;;;;
4554 X___;1651 XXOO;6151 XOOO;1561 XXXX;;;;;;
3224 O___;1612 XXOO;1162 OOOO;2611 XXXX;;;;;;
6346 O___;2113 XOOO;3121 XXOO;3211 XXXX;;;;;;
6543 OO__;1416 XXOO;4116 XOOO;1614 XXXX;;;;;;
2535 XXOO;3525 XOOO;2553 XOOO;5532 XXXX;;;;;;
3224 XXOO;4223 XOOO;3242 XOOO;2234 XXXX;;;;;;
6543 XXOO;4563 XOOO;6453 OOOO;3546 XXXX;;;;;;
6543 ____;1112 XXX_;2112 XX__;1111 XXXX;;;;;;
2323 XXO_;2352 XXO_;6322 XO__;2335 XXXX;;;;;;
3344 XXO_;1343 OOO_;3534 XX__;3414 XXXX;;;;;;
4554 XXO_;6454 OOO_;4542 XX__;4565 XXXX;;;;;;
2323 XOO_;2235 XXO_;2132 XO__;5233 XXXX;;;;;;
3344 XOO_;3431 OOO_;4353 XX__;4143 XXXX;;;;;;
4554 XOO_;1545 XXO_;5543 XO__;4145 XXXX;;;;;;
2311 XXO_;2116 XX__;2513 XO__;3111 XXXX;;;;;;
2535 XXO_;6532 XX__;5531 XO__;2552 XXXX;;;;;;
2311 OOO_;1163 XOO_;1632 OOOO;3126 XXXX;;;;;;
2535 OOO_;6253 XO__;5152 XXX_;5452 XXXX;;;;;;
3224 OOO_;2132 XOO_;4312 XXOO;1342 XXXX;;;;;;
6346 OOO_;3614 XO__;2663 XXO_;4662 XXXX;;;;;;
2311 ____;4665 XOOO;6564 XOOO;5466 XXXX;;;;;;
2535 ____;4114 OOO_;6441 XXOO;1446 XXXX;;;;;;
3224 ____;5116 XOOO;6151 XOOO;1165 XXXX;;;;;;
6346 ____;2211 XXOO;1221 OOOO;2112 XXXX;;;;;;
6645 ____;1132 XOOO;1321 XOOO;1213 XXXX;;;;;;
6346 XOO_;3643 XOOO;3436 OOOO;4363 XXXX;;;;;;
2323 OO__;3431 XOO_;3142 XOOO;3214 XXXX;;;;;;
3344 OO__;4412 XOO_;4123 XXOO;1423 XXXX;;;;;;
4554 OO__;2443 XOO_;3425 XOOO;5432 XXXX;;;;;;
6543 XX__;6241 XOO_;2143 XOO_;1542 XXXX;;;;;;
2311 XX__;2561 O___;3313 XX__;4314 XXXX;;;;;;
6346 XX__;1341 XXO_;1316 XXO_;1146 XXXX;;;;;;
6543 X___;6266 XXO_;6126 XXOO;6162 XXXX;;;;;;
2323 XX__;2424 XXO_;2443 OOOO;4324 XXXX;;;;;;
3344 XX__;3365 XOO_;3546 XXOO;5346 XXXX;;;;;;
4554 XX__;1556 XOO_;4651 OOOO;6514 XXXX;;;;;;
6543 XOO_;6134 OOOO;1463 OOOO;3641 XXXX;;;;;;
2311 X___;3366 OO__;6614 XXO_;6651 XXXX;;;;;;
3224 X___;1526 XXOO;6521 OOOO;1256 XXXX;;;;;;
2535 OO__;3412 XXOO;4312 OOOO;3421 XXXX;;;;;;
3224 OO__;6463 ____;2512 XXOO;2152 XXXX;;;;;;
6645 OO__;4351 OOOO;5134 XXOO;1534 XXXX;;;;;;
6645 XO__;5613 OOOO;6351 XOOO;1365 XXXX;;;;;;
2323 O___;4652 XXOO;4256 OOOO;5642 XXXX;;;;;;
2323 X___;2615 XOOO;2156 OOOO;5621 XXXX;;;;;;
2323 ____;1651 XOOO;1165 OOOO;6511 XXXX;;;;;;
3344 O___;5632 XOOO;5263 OOOO;2536 XXXX;;;;;;
3344 ____;1125 XOOO;1251 OOOO;5112 XXXX;;;;;;
4554 X___;1652 XXOO;2651 OOOO;1562 XXXX;;;;;;
2535 O___;6126 XXOO;6162 OOOO;1626 XXXX;;;;;;
3224 O___;6465 XXOO;6456 OOOO;4665 XXXX;;;;;;
6346 O___;5162 XOOO;2561 OOOO;1652 XXXX;;;;;;
6543 OO__;2234 XXOO;2432 XOOO;2324 XXXX;;;;;;
4554 OOO_;5425 XXO_;5442 XXOO;2445 XXXX;;;;;;
