2541 XOOO;1524 OOOO;4162 XOO_;4251 XXXX;;;;;;
2316 XXX_;5326 XX__;4316 XXXX;;;;;;;
2316 XXO_;5213 XXOO;2513 XOOO;5312 XXXX;;;;;;
2316 XXOO;6325 XXO_;1326 XOOO;6312 XXXX;;;;;;
2316 XOO_;2365 OOOO;5236 XOOO;3526 XXXX;;;;;;
2316 XOOO;6213 OOOO;4632 XOO_;1362 XXXX;;;;;;
1234 XX__;3265 XXX_;1265 XXXX;;;;;;;
1234 XXO_;4135 XXOO;5134 XOOO;1435 XXXX;;;;;;
1234 XOO_;4236 OOOO;2364 XOOO;3624 XXXX;;;;;;
1234 XOOO;2314 OOOO;1436 XOO_;4132 XXXX;;;;;;
1234 OOOO;3241 XOOO;2463 XOO_;3412 XXXX;;;;;;
6543 XO__;1523 XXOO;5123 OOOO;1532 XXXX;;;;;;
6543 OO__;2165 OOOO;5621 OOOO;1256 XXXX;;;;;;
6543 OOOO;4136 XXO_;3256 XXO_;4356 XXXX;;;;;;
4215 OO__;3461 OOOO;6143 OOOO;1634 XXXX;;;;;;
4215 OOOO;4152 XXOO;6134 XO__;5142 XXXX;;;;;;
3625 XO__;3421 XXOO;3241 OOOO;1423 XXXX;;;;;;
3625 OO__;2541 OOOO;5412 OOOO;1254 XXXX;;;;;;
2541 OOOO;4512 XXOO;5316 XO__;4215 XXXX;;;;;;
2316 XO__;2514 XXOO;2541 OOOO;5214 XXXX;;;;;;
2316 OO__;5423 OOOO;3254 OOOO;4532 XXXX;;;;;;
2316 OOOO;4163 XXO_;5126 XXO_;6123 XXXX;;;;;;
1234 XO__;6534 XXOO;6354 OOOO;4536 XXXX;;;;;;
1234 OO__;3465 OOOO;6543 OOOO;4356 XXXX;;;;;;
6543 XO__;1243 XXOO;3241 XOOO;4213 OOOO;1342 XXXX;;;;;
6543 OO__;4321 OOOO;2134 XOOO;3214 OOOO;1432 XXXX;;;;;
4215 XO__;3216 XXOO;1236 XOOO;2316 OOOO;3261 XXXX;;;;;
4215 OOO_;5426 XOOO;6524 OOOO;5642 XXXX;;;;;;
3625 XXOO;6324 XOO_;3526 XOOO;5623 XXXX;;;;;;
3625 XOOO;5326 OOOO;6512 OOO_;2653 XXXX;;;;;;
3625 OOO_;5136 XOOO;6531 OOOO;1356 XXXX;;;;;;
2541 OOOO;1524 XOOO;3425 OOO_;5214 XXXX;;;;;;
2316 XO__;2345 XXOO;2435 XOOO;4325 OOOO;2543 XXXX;;;;;
2316 OO__;4152 OOOO;1524 XOOO;5421 OOOO;1245 XXXX;;;;;
2316 OOOO;1236 XOOO;4231 OOO_;1623 XXXX;;;;;;
1234 XOOO;1342 OOOO;3614 OOO_;2431 XXXX;;;;;;
1234 OO__;2563 OOOO;5326 XOOO;3625 OOOO;6352 XXXX;;;;;
6543 XXO_;1653 XX__;2643 XXXX;;;;;;;
6543 XOOO;3645 XOOO;6145 OOO_;3564 OOOO;4653 XXXX;;;;;
6543 OOOO;2435 XXO_;5136 XOO_;4635 XXXX;;;;;;
4215 XX__;4326 XXO_;4365 XXXX;;;;;;;
4215 XXO_;6241 XX__;3245 XXXX;;;;;;;
4215 XOOO;2145 XOOO;2561 OOO_;4152 OOOO;1425 XXXX;;;;;
4215 OO__;1362 XXOO;1632 OOOO;2361 XXXX;;;;;;
4215 OOOO;5462 OOO_;2641 XXX_;2541 XXXX;;;;;;
3625 XX__;3514 XXO_;3124 XXXX;;;;;;;
3625 XXO_;5634 XX__;5621 XXXX;;;;;;;
3625 XOOO;3562 XOOO;2615 OOO_;6523 OOOO;3256 XXXX;;;;;
3625 OO__;2541 OOOO;4152 XXOO;1452 XXXX;;;;;;
3625 OOO_;1532 XOOO;2513 XOOO;5312 OOOO;1253 XXXX;;;;;
3625 OOOO;6513 XXO_;1653 XOO_;2563 XXXX;;;;;;
2541 XX__;6143 XXO_;2643 XXXX;;;;;;;
2541 XXO_;6251 XX__;3241 XXXX;;;;;;;
2541 OO__;3126 XXOO;3162 OOOO;1326 XXXX;;;;;;
2541 OOOO;4256 XXO_;1456 XOO_;4152 XXXX;;;;;;
2316 XX__;6345 XXO_;4315 XXXX;;;;;;;
