1111 ____;2345 O___;2667 ____;8334 O___;1585 XO__;5888 XXXX;;
1111 ____;2345 O___;2667 ____;8334 O___;1585 XOO_;5558 XXXX;;
1111 ____;2345 O___;2667 ____;8334 O___;1585 XXO_;5588 XXXX;;
1111 ____;2345 O___;2667 ____;8334 OO__;3888 XX__;4488 XXXX;;
1111 ____;2345 O___;2667 ____;8334 OO__;3888 XXX_;4888 XXXX;;
1111 ____;2345 O___;2667 ____;8334 OO__;3888 XXXX;;;
1111 ____;2345 O___;2667 ____;8334 OOO_;3883 XXXX;;;
1111 ____;2345 O___;2667 ____;8334 X___;8588 XXOO;8858 XXXX;;
1111 ____;2345 O___;2667 ____;8334 X___;8588 XXX_;8558 XXXX;;
1111 ____;2345 O___;2667 ____;8334 X___;8588 XXXX;;;
1111 ____;2345 O___;2667 ____;8334 XO__;4484 X___;8883 XXXX;;
1111 ____;2345 O___;2667 ____;8334 XO__;4484 XX__;8488 XXXX;;
1111 ____;2345 O___;2667 ____;8334 XO__;4484 XXX_;4884 XXXX;;
1111 ____;2345 O___;2667 ____;8334 XO__;4484 XXXX;;;
1111 ____;2345 O___;2667 ____;8334 XOO_;3833 XXX_;3838 XXXX;;
1111 ____;2345 O___;2667 ____;8334 XOO_;3833 XXXX;;;
1111 ____;2345 O___;2667 ____;8334 XX__;8484 XO__;8838 XXXX;;
1111 ____;2345 O___;2667 ____;8334 XX__;8484 XXX_;8884 XXXX;;
1111 ____;2345 O___;2667 ____;8334 XX__;8484 XXXX;;;
1111 ____;2345 O___;2667 ____;8334 XXO_;8833 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 ____;5556 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 ____;4474 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 O___;8222 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XO__;8228 XXOO;8822 XXXX;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XO__;8228 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XOO_;8556 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XX__;8828 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XXO_;5856 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XXOO;8856 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XXX_;6558 XXXX;;
1111 ____;2345 O___;2667 O___;7783 O___;6858 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 O___;3836 XXO_;6838 XXXX;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 O___;3836 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 X___;8836 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XO__;5578 XXX_;5878 XXXX;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XO__;5578 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XOO_;4878 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XX__;8578 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XXOO;4478 XXOO;4874 XXXX;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XXOO;4478 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XXX_;8478 XXOO;8874 XXXX;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XXX_;8478 XXXX;;
1111 ____;2345 O___;2667 O___;7783 OO__;8474 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 OOO_;3878 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XO__;8282 XXX_;8288 XXXX;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XO__;8282 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XOO_;6484 XX__;6588 XXXX;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XOO_;6484 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XOOO;6488 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XX__;5586 X___;8882 XXXX;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XX__;5586 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XXO_;8586 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XXOO;6884 XOOO;8486 XXXX;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XXOO;6884 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XXX_;4486 XX__;5886 XXXX;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XXX_;4486 XXXX;;
1111 ____;2345 O___;2667 O___;7783 X___;4886 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 O___;7474 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 OO__;6833 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 OOO_;3886 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 X___;4774 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 XO__;7558 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 XOO_;7858 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 XX__;5758 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XO__;8768 XXX_;8758 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 OO__;7838 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XO__;3738 XOOO;3873 XXXX;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XO__;3738 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XOO_;7578 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XOOO;7478 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XX__;8738 XOOO;8873 XXXX;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XX__;8738 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XXO_;5778 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XXOO;4778 XOOO;7874 XXXX;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XXOO;4778 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XOO_;8774 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 XOOO;3778 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 O___;3733 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 X___;6883 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XO__;5788 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XOO_;4788 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XX__;7588 X___;7774 XXXX;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XX__;7588 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XXO_;8784 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XXOO;4784 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XXX_;7488 XXOO;7884 XXXX;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XXX_;7488 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XX__;7484 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 XXO_;3773 XO__;7758 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXO_;3773 XOO_;7833 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXO_;3773 XX__;3788 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXO_;3773 XXO_;8733 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXO_;3773 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 XXOO;7873 XOOO;7738 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXOO;7873 XXOO;8773 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXOO;7873 XXXX;;;
1111 ____;2345 O___;2667 O___;7783 XXX_;7878 OO__;3783 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXX_;7878 OOO_;8783 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXX_;7878 XO__;7733 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXX_;7878 XOO_;7784 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXX_;7878 XX__;7773 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXX_;7878 XXO_;7883 XXXX;;
1111 ____;2345 O___;2667 O___;7783 XXXX;;;;
