1115 ____;2234 ____;6666 XXXX;;;;
1115 ____;2234 O___;6636 OO__;3363 XXXX;;;
1115 ____;2234 O___;6636 X___;4446 XXXX;;;
1115 ____;2234 O___;6636 XO__;4466 XXXX;;;
1115 ____;2234 O___;6636 XOO_;1316 OO__;3663 XXXX;;
1115 ____;2234 O___;6636 XOO_;1316 XO__;6363 XXXX;;
1115 ____;2234 O___;6636 XOO_;1316 XX__;3366 XXXX;;
1115 ____;2234 O___;6636 XX__;4646 XXOO;6446 XXXX;;
1115 ____;2234 O___;6636 XX__;4646 XXXX;;;
1115 ____;2234 O___;6636 XXO_;4666 XXO_;6662 XXXX;;
1115 ____;2234 O___;6636 XXO_;4666 XXOO;6466 XXXX;;
1115 ____;2234 O___;6636 XXO_;4666 XXXX;;;
1115 ____;2234 O___;6636 XXOO;1316 OO__;6663 XXXX;;
1115 ____;2234 O___;6636 XXOO;1316 XO__;3666 XXXX;;
1115 ____;2234 O___;6636 XXOO;1316 XX__;6366 XXXX;;
1115 ____;2234 O___;6636 XXX_;6626 XXX_;6646 XXXX;;
1115 ____;2234 O___;6636 XXX_;6626 XXXX;;;
1115 ____;2234 OO__;6623 O___;4442 XXXX;;;
1115 ____;2234 OO__;6623 OO__;3446 XOO_;4462 XXXX;;
1115 ____;2234 OO__;6623 OO__;3446 XXOO;4346 XXXX;;
1115 ____;2234 OO__;6623 OO__;3446 XXX_;3346 XXXX;;
1115 ____;2234 OO__;6623 OO__;3446 XXXX;;;
1115 ____;2234 OO__;6623 OOO_;3466 XX__;3362 XXXX;;
1115 ____;2234 OO__;6623 OOO_;3466 XXOO;4366 XXXX;;
1115 ____;2234 OO__;6623 OOO_;3466 XXXX;;;
1115 ____;2234 OO__;6623 X___;1333 X___;4443 XXXX;;
1115 ____;2234 OO__;6623 X___;1333 XO__;3443 XXXX;;
1115 ____;2234 OO__;6623 X___;1333 XX__;4343 XXXX;;
1115 ____;2234 OO__;6623 X___;1333 XXO_;3343 XXXX;;
