1234 ____;1555 ____;6666 XXXX;;;;
1234 ____;1555 O___;5666 XXXX;;;;
1234 ____;1555 X___;1156 OO__;6665 XXXX;;;
1234 ____;1555 X___;1156 XO__;6566 XXXX;;;
1234 ____;1555 X___;1156 XX__;6656 XXXX;;;
1234 ____;1555 XO__;1156 OO__;5665 XXXX;;;
1234 ____;1555 XO__;1156 XO__;5566 XXXX;;;
1234 ____;1555 XO__;1156 XX__;5656 XXXX;;;
1234 ____;1555 XX__;1156 OO__;6565 XXXX;;;
1234 ____;1555 XX__;1156 XO__;6655 XXXX;;;
1234 ____;1555 XX__;1156 XX__;6556 XXXX;;;
1234 ____;1555 XXO_;1156 OO__;5565 XXXX;;;
1234 ____;1555 XXO_;1156 XO__;5655 XXXX;;;
1234 ____;1555 XXO_;1156 XX__;5556 XXXX;;;
1234 ____;1555 XXX_;5555 XXX_;6555 XXXX;;;
1234 ____;1555 XXX_;5555 XXXX;;;;
1234 O___;1556 O___;2662 ____;4445 XXXX;;;
1234 O___;1556 O___;2662 X___;3363 XXXX;;;
1234 O___;1556 O___;2662 XO__;6363 XXXX;;;
1234 O___;1556 O___;2662 XX__;3663 XXX_;6663 XXXX;;
1234 O___;1556 O___;2662 XX__;3663 XXXX;;;
1234 O___;1556 O___;2662 XXOO;6622 XXXX;;;
1234 O___;1556 O___;2662 XXX_;2622 XX__;6662 XXXX;;
1234 O___;1556 O___;2662 XXX_;2622 XXXX;;;
1234 O___;1556 O___;2662 XXXX;;;;
1234 O___;1556 OO__;2365 O___;5111 XX__;6611 XXXX;;
1234 O___;1556 OO__;2365 O___;5111 XXX_;6111 XXXX;;
1234 O___;1556 OO__;2365 O___;5111 XXXX;;;
1234 O___;1556 OO__;2365 OOO_;5622 XXXX;;;
1234 O___;1556 OO__;2365 X___;6161 ____;5445 XXXX;;
1234 O___;1556 OO__;2365 X___;6161 XXX_;6661 XXXX;;
1234 O___;1556 OO__;2365 X___;6161 XXXX;;;
1234 O___;1556 OO__;2365 XO__;4645 XXOO;6445 XXXX;;
1234 O___;1556 OO__;2365 XO__;4645 XXX_;6645 XXXX;;
1234 O___;1556 OO__;2365 XO__;4645 XXXX;;;
1234 O___;1556 OO__;2365 XOO_;5662 XOOO;6625 XXXX;;
1234 O___;1556 OO__;2365 XOO_;5662 XXX_;5663 XXXX;;
1234 O___;1556 OO__;2365 XOO_;5662 XXXX;;;
1234 O___;1556 OO__;2365 XX__;4665 XXOO;6465 XXXX;;
1234 O___;1556 OO__;2365 XX__;4665 XXX_;4465 XXXX;;
1234 O___;1556 OO__;2365 XX__;4665 XXXX;;;
1234 O___;1556 OO__;2365 XXO_;2625 OO__;5363 XXXX;;
1234 O___;1556 OO__;2365 XXO_;2625 XX__;3665 XXXX;;
1234 O___;1556 OO__;2365 XXO_;2625 XXXX;;;
1234 O___;1556 OO__;2365 XXX_;2665 XX__;3365 XXXX;;
1234 O___;1556 OO__;2365 XXX_;2665 XXO_;6365 XXXX;;
1234 O___;1556 OO__;2365 XXX_;2665 XXXX;;;
1234 O___;1556 OOO_;5161 OOO_;6615 XXXX;;;
1234 O___;1556 OOO_;5161 XO__;5625 XXX_;5645 XXXX;;
1234 O___;1556 OOO_;5161 XO__;5625 XXXX;;;
1234 O___;1556 OOO_;5161 XOOO;6115 XXXX;;;
1234 O___;1556 OOO_;5161 XX__;5365 XXX_;5465 XXXX;;
1234 O___;1556 OOO_;5161 XX__;5365 XXXX;;;
