1212 ____;3345 ____;6666 XXXX;;;;;;;
1212 ____;3345 O___;6646 OO__;4464 XXXX;;;;;;
1212 ____;3345 O___;6646 X___;5556 XXXX;;;;;;
1212 ____;3345 O___;6646 XO__;5566 XXXX;;;;;;
1212 ____;3345 O___;6646 XOO_;1416 OO__;4664 XXXX;;;;;
1212 ____;3345 O___;6646 XOO_;1416 XO__;6464 XXXX;;;;;
1212 ____;3345 O___;6646 XOO_;1416 XX__;4466 XXXX;;;;;
1212 ____;3345 O___;6646 XX__;5656 XXOO;6556 XXXX;;;;;
1212 ____;3345 O___;6646 XX__;5656 XXXX;;;;;;
1212 ____;3345 O___;6646 XXO_;5666 XXO_;6663 XXXX;;;;;
1212 ____;3345 O___;6646 XXO_;5666 XXOO;6566 XXXX;;;;;
1212 ____;3345 O___;6646 XXO_;5666 XXXX;;;;;;
1212 ____;3345 O___;6646 XXOO;1416 OO__;6664 XXXX;;;;;
1212 ____;3345 O___;6646 XXOO;1416 XO__;4666 XXXX;;;;;
1212 ____;3345 O___;6646 XXOO;1416 XX__;6466 XXXX;;;;;
1212 ____;3345 O___;6646 XXX_;6636 XXX_;6656 XXXX;;;;;
1212 ____;3345 O___;6646 XXX_;6636 XXXX;;;;;;
1212 ____;3345 OO__;6634 O___;5553 XXXX;;;;;;
1212 ____;3345 OO__;6634 OO__;4556 XOO_;5563 XXXX;;;;;
1212 ____;3345 OO__;6634 OO__;4556 XXOO;5456 XXXX;;;;;
1212 ____;3345 OO__;6634 OO__;4556 XXX_;4456 XXXX;;;;;
1212 ____;3345 OO__;6634 OO__;4556 XXXX;;;;;;
1212 ____;3345 OO__;6634 OOO_;4566 XX__;4463 XXXX;;;;;
1212 ____;3345 OO__;6634 OOO_;4566 XXOO;5466 XXXX;;;;;
1212 ____;3345 OO__;6634 OOO_;4566 XXXX;;;;;;
1212 ____;3345 OO__;6634 X___;1444 X___;5554 XXXX;;;;;
1212 ____;3345 OO__;6634 X___;1444 XO__;4554 XXXX;;;;;
1212 ____;3345 OO__;6634 X___;1444 XX__;5454 XXXX;;;;;
1212 ____;3345 OO__;6634 X___;1444 XXO_;4454 XXXX;;;;;
1212 ____;3345 OO__;6634 XO__;5653 OO__;4564 XXXX;;;;;
1212 ____;3345 OO__;6634 XO__;5653 XO__;5464 XXXX;;;;;
1212 ____;3345 OO__;6634 XO__;5653 XOO_;5564 XXXX;;;;;
1212 ____;3345 OO__;6634 XO__;5653 XOOO;5536 XXXX;;;;;
1212 ____;3345 OO__;6634 XO__;5653 XXOO;6553 XXXX;;;;;
1212 ____;3345 OO__;6634 XO__;5653 XXXX;;;;;;
1212 ____;3345 OO__;6634 XOO_;4656 OOO_;6563 XXXX;;;;;
1212 ____;3345 OO__;6634 XOO_;4656 XOO_;5663 XXXX;;;;;
1212 ____;3345 OO__;6634 XOO_;4656 XX__;4436 XXXX;;;;;
1212 ____;3345 OO__;6634 XOO_;4656 XXOO;6456 XXXX;;;;;
1212 ____;3345 OO__;6634 XOO_;4656 XXXX;;;;;;
1212 ____;3345 OO__;6634 XOOO;4663 XXOO;6463 XXXX;;;;;
1212 ____;3345 OO__;6634 XOOO;4663 XXXX;;;;;;
1212 ____;3345 OO__;6634 XX__;4654 XX__;4434 XXXX;;;;;
1212 ____;3345 OO__;6634 XX__;4654 XXO_;6554 XXXX;;;;;
1212 ____;3345 OO__;6634 XX__;4654 XXOO;6454 XXXX;;;;;
1212 ____;3345 OO__;6634 XX__;4654 XXX_;5654 XXXX;;;;;
1212 ____;3345 OO__;6634 XX__;4654 XXXX;;;;;;
1212 ____;3345 OO__;6634 XXO_;5636 OOO_;6564 XXXX;;;;;
1212 ____;3345 OO__;6634 XXO_;5636 XOOO;6653 XXXX;;;;;
1212 ____;3345 OO__;6634 XXO_;5636 XXO_;5664 XXXX;;;;;
1212 ____;3345 OO__;6634 XXO_;5636 XXOO;6536 XXXX;;;;;
1212 ____;3345 OO__;6634 XXO_;5636 XXXX;;;;;;
1212 ____;3345 OO__;6634 XXOO;4636 XXOO;6436 XXXX;;;;;
1212 ____;3345 OO__;6634 XXOO;4636 XXXX;;;;;;
1212 ____;3345 OO__;6634 XXX_;1413 O___;6654 XXXX;;;;;
1212 ____;3345 OO__;6634 XXX_;1413 OO__;4634 XXXX;;;;;
1212 ____;3345 OO__;6634 XXX_;1413 X___;6633 XXXX;;;;;
1212 ____;3345 OO__;6634 XXX_;1413 XO__;6434 XXXX;;;;;
1212 ____;3345 OO__;6634 XXXX;;;;;;;
1212 ____;3345 OOO_;4653 OOO_;5434 XXX_;5534 XXXX;;;;;
1212 ____;3345 OOO_;4653 OOO_;5434 XXXX;;;;;;
1212 ____;3345 OOO_;4653 OOOO;5436 XOOO;6534 XXXX;;;;;
1212 ____;3345 OOO_;4653 OOOO;5436 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XO__;5533 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XOO_;4534 XO__;6433 XXXX;;;;;
1212 ____;3345 OOO_;4653 XOO_;4534 XX__;6533 XXXX;;;;;
1212 ____;3345 OOO_;4653 XOO_;4534 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XOOO;4536 OOOO;5463 XXXX;;;;;
1212 ____;3345 OOO_;4653 XOOO;4536 XOOO;5634 XXXX;;;;;
1212 ____;3345 OOO_;4653 XOOO;4536 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XX__;4433 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XXO_;5453 XX__;5633 XXXX;;;;;
1212 ____;3345 OOO_;4653 XXO_;5453 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XXOO;4563 XOOO;6453 XXXX;;;;;
1212 ____;3345 OOO_;4653 XXOO;4563 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XXX_;4453 XX__;4633 XXXX;;;;;
1212 ____;3345 OOO_;4653 XXX_;4453 XXX_;4553 XXXX;;;;;
1212 ____;3345 OOO_;4653 XXX_;4453 XXXX;;;;;;
1212 ____;3345 OOO_;4653 XXXX;;;;;;;
1212 ____;3345 OOOO;4533 XXOO;5433 XXXX;;;;;;
1212 ____;3345 OOOO;4533 XXXX;;;;;;;
1212 ____;3345 X___;4666 ____;5555 XXXX;;;;;;
1212 ____;3345 X___;4666 O___;6555 XXXX;;;;;;
1212 ____;3345 X___;4666 OO__;6444 XXXX;;;;;;
1212 ____;3345 X___;4666 X___;5565 ____;4444 XXXX;;;;;
1212 ____;3345 X___;4666 X___;5565 XXOO;5655 XXXX;;;;;
1212 ____;3345 X___;4666 X___;5565 XXXX;;;;;;
1212 ____;3345 X___;4666 XO__;6565 XXOO;6655 XXXX;;;;;
1212 ____;3345 X___;4666 XO__;6565 XXXX;;;;;;
1212 ____;3345 X___;4666 XOO_;6446 XXOO;6644 XXXX;;;;;
1212 ____;3345 X___;4666 XOO_;6446 XXXX;;;;;;
1212 ____;3345 X___;4666 XX__;4446 O___;5665 XXXX;;;;;
1212 ____;3345 X___;4666 XX__;4446 XXOO;4644 XXXX;;;;;
1212 ____;3345 X___;4666 XX__;4446 XXXX;;;;;;
1212 ____;3345 X___;4666 XXO_;6366 XXO_;6665 XXXX;;;;;
1212 ____;3345 X___;4666 XXO_;6366 XXXX;;;;;;
1212 ____;3345 X___;4666 XXOO;6646 XXXX;;;;;;
1212 ____;3345 X___;4666 XXX_;3666 XX__;4646 XXXX;;;;;
1212 ____;3345 X___;4666 XXX_;3666 XXXX;;;;;;
1212 ____;3345 XO__;3636 ____;4544 OO__;5455 XXXX;;;;;
1212 ____;3345 XO__;3636 ____;4544 XOO_;4455 XXXX;;;;;
1212 ____;3345 XO__;3636 ____;4544 XX__;4555 XXXX;;;;;
1212 ____;3345 XO__;3636 ____;4544 XXOO;5444 XXXX;;;;;
1212 ____;3345 XO__;3636 ____;4544 XXX_;5544 XXXX;;;;;
1212 ____;3345 XO__;3636 ____;4544 XXXX;;;;;;
1212 ____;3345 XO__;3636 O___;4565 X___;4443 XXXX;;;;;
1212 ____;3345 XO__;3636 O___;4565 XOO_;6544 XXXX;;;;;
1212 ____;3345 XO__;3636 O___;4565 XOOO;6455 XXXX;;;;;
1212 ____;3345 XO__;3636 O___;4565 XXOO;5465 XXXX;;;;;
1212 ____;3345 XO__;3636 O___;4565 XXX_;4465 XXXX;;;;;
1212 ____;3345 XO__;3636 O___;4565 XXXX;;;;;;
1212 ____;3345 XO__;3636 OO__;4364 OOOO;6443 XXXX;;;;;
1212 ____;3345 XO__;3636 OO__;4364 XO__;6465 XXXX;;;;;
1212 ____;3345 XO__;3636 OO__;4364 XXXX;;;;;;
1212 ____;3345 XO__;3636 OOO_;6364 XXXX;;;;;;
1212 ____;3345 XO__;3636 OOOO;6363 XXXX;;;;;;
1212 ____;3345 XO__;3636 X___;4546 X___;5535 XXXX;;;;;
1212 ____;3345 XO__;3636 X___;4546 XOO_;4655 XXXX;;;;;
1212 ____;3345 XO__;3636 X___;4546 XOOO;5644 XXXX;;;;;
1212 ____;3345 XO__;3636 X___;4546 XXOO;5446 XXXX;;;;;
1212 ____;3345 XO__;3636 X___;4546 XXX_;5546 XXXX;;;;;
1212 ____;3345 XO__;3636 X___;4546 XXXX;;;;;;
1212 ____;3345 XO__;3636 XO__;1565 O___;4643 XXXX;;;;;
1212 ____;3345 XO__;3636 XO__;1565 OOO_;5356 XXXX;;;;;
1212 ____;3345 XO__;3636 XO__;1565 X___;3464 XXXX;;;;;
1212 ____;3345 XO__;3636 XO__;1565 XO__;6546 XXXX;;;;;
1212 ____;3345 XO__;3636 XO__;1565 XX__;4665 XXXX;;;;;
1212 ____;3345 XO__;3636 XO__;1565 XXO_;6535 XXXX;;;;;
1212 ____;3345 XO__;3636 XOO_;4366 OOOO;6643 XXXX;;;;;
1212 ____;3345 XO__;3636 XOO_;4366 XO__;6333 XXXX;;;;;
1212 ____;3345 XO__;3636 XOO_;4366 XXO_;6356 XXXX;;;;;
1212 ____;3345 XO__;3636 XOO_;4366 XXX_;5366 XXXX;;;;;
1212 ____;3345 XO__;3636 XOO_;4366 XXXX;;;;;;
1212 ____;3345 XO__;3636 XX__;3556 OOOO;5635 XXXX;;;;;
1212 ____;3345 XO__;3636 XX__;3556 XO__;5646 XXXX;;;;;
1212 ____;3345 XO__;3636 XX__;3556 XXXX;;;;;;
1212 ____;3345 XO__;3636 XXO_;3466 OOO_;6635 XXXX;;;;;
1212 ____;3345 XO__;3636 XXO_;3466 XXOO;3664 XXXX;;;;;
1212 ____;3345 XO__;3636 XXO_;3466 XXX_;3566 XXXX;;;;;
1212 ____;3345 XO__;3636 XXO_;3466 XXXX;;;;;;
1212 ____;3345 XO__;3636 XXOO;3663 OOOO;6336 XXXX;;;;;
1212 ____;3345 XO__;3636 XXOO;3663 XXXX;;;;;;
1212 ____;3345 XO__;3636 XXX_;3633 XX__;3656 XXXX;;;;;
1212 ____;3345 XO__;3636 XXX_;3633 XXXX;;;;;;
1212 ____;3345 XO__;3636 XXXX;;;;;;;
1212 ____;3345 XOO_;3454 OO__;1436 OO__;5363 XXXX;;;;;
1212 ____;3345 XOO_;3454 OO__;1436 OOO_;4363 XXXX;;;;;
1212 ____;3345 XOO_;3454 OO__;1436 X___;5333 XXXX;;;;;
1212 ____;3345 XOO_;3454 OO__;1436 XO__;4333 XXXX;;;;;
1212 ____;3345 XOO_;3454 OO__;1436 XX__;5336 XXXX;;;;;
1212 ____;3345 XOO_;3454 OO__;1436 XXO_;4336 XXXX;;;;;
1212 ____;3345 XOO_;3454 OOO_;4635 OOO_;5543 XXXX;;;;;
1212 ____;3345 XOO_;3454 OOO_;4635 OOOO;6543 XXXX;;;;;
1212 ____;3345 XOO_;3454 OOO_;4635 XOOO;5643 XXXX;;;;;
1212 ____;3345 XOO_;3454 OOO_;4635 XXX_;4535 XXXX;;;;;
1212 ____;3345 XOO_;3454 OOO_;4635 XXXX;;;;;;
1212 ____;3345 XOO_;3454 OOOO;4543 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XO__;3536 OOO_;5353 XXXX;;;;;
1212 ____;3345 XOO_;3454 XO__;3536 OOOO;6353 XXXX;;;;;
1212 ____;3345 XOO_;3454 XO__;3536 XOO_;6334 XXXX;;;;;
1212 ____;3345 XOO_;3454 XO__;3536 XXOO;3563 XXXX;;;;;
1212 ____;3345 XOO_;3454 XO__;3536 XXX_;3533 XXXX;;;;;
1212 ____;3345 XOO_;3454 XO__;3536 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XOO_;4356 OOO_;5435 XXXX;;;;;
1212 ____;3345 XOO_;3454 XOO_;4356 OOOO;6435 XXXX;;;;;
1212 ____;3345 XOO_;3454 XOO_;4356 XOOO;5364 XXXX;;;;;
1212 ____;3345 XOO_;3454 XOO_;4356 XX__;4334 XXXX;;;;;
1212 ____;3345 XOO_;3454 XOO_;4356 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XOOO;4435 XOOO;5443 XXXX;;;;;
1212 ____;3345 XOO_;3454 XOOO;4435 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XX__;3463 XOOO;3634 XXXX;;;;;
1212 ____;3345 XOO_;3454 XX__;3463 XX__;3553 XXXX;;;;;
1212 ____;3345 XOO_;3454 XX__;3463 XXO_;3653 XXXX;;;;;
1212 ____;3345 XOO_;3454 XX__;3463 XXOO;3436 XXXX;;;;;
1212 ____;3345 XOO_;3454 XX__;3463 XXX_;3433 XXXX;;;;;
1212 ____;3345 XOO_;3454 XX__;3463 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XXO_;3564 XOO_;5354 XXXX;;;;;
1212 ____;3345 XOO_;3454 XXO_;3564 XOOO;6354 XXXX;;;;;
1212 ____;3345 XOO_;3454 XXO_;3564 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XXOO;4354 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XXX_;3456 XX__;3434 XXXX;;;;;
1212 ____;3345 XOO_;3454 XXX_;3456 XXO_;3554 XXXX;;;;;
1212 ____;3345 XOO_;3454 XXX_;3456 XXOO;3654 XXXX;;;;;
1212 ____;3345 XOO_;3454 XXX_;3456 XXXX;;;;;;
1212 ____;3345 XOO_;3454 XXXX;;;;;;;
1212 ____;3345 XOOO;3453 OOOO;5334 XXXX;;;;;;
1212 ____;3345 XOOO;3453 XOOO;3534 XXXX;;;;;;
1212 ____;3345 XOOO;3453 XXOO;4353 XXXX;;;;;;
1212 ____;3345 XOOO;3453 XXXX;;;;;;;
1212 ____;3345 XX__;3636 ____;1444 X___;5545 XXXX;;;;;
1212 ____;3345 XX__;3636 ____;1444 XO__;4545 XXXX;;;;;
1212 ____;3345 XX__;3636 ____;1444 XX__;5445 XXXX;;;;;
1212 ____;3345 XX__;3636 ____;1444 XXO_;4445 XXXX;;;;;
1212 ____;3345 XX__;3636 O___;6445 X___;5355 XXXX;;;;;
1212 ____;3345 XX__;3636 O___;6445 XO__;4344 XXXX;;;;;
1212 ____;3345 XX__;3636 O___;6445 XXX_;6545 XXXX;;;;;
1212 ____;3345 XX__;3636 O___;6445 XXXX;;;;;;
1212 ____;3345 XX__;3636 OO__;5365 XO__;6344 XXXX;;;;;
1212 ____;3345 XX__;3636 OO__;5365 XXOO;6355 XXXX;;;;;
1212 ____;3345 XX__;3636 OO__;5365 XXXX;;;;;;
1212 ____;3345 XX__;3636 OOO_;6365 XXXX;;;;;;
