1122 ____;3345 ____;6666 XXXX;;;;;;;
1122 ____;3345 O___;6646 OO__;4464 XXXX;;;;;;
1122 ____;3345 O___;6646 X___;5556 XXXX;;;;;;
1122 ____;3345 O___;6646 XO__;5566 XXXX;;;;;;
1122 ____;3345 O___;6646 XOO_;1416 OO__;4664 XXXX;;;;;
1122 ____;3345 O___;6646 XOO_;1416 XO__;6464 XXXX;;;;;
1122 ____;3345 O___;6646 XOO_;1416 XX__;4466 XXXX;;;;;
1122 ____;3345 O___;6646 XX__;5656 XXOO;6556 XXXX;;;;;
1122 ____;3345 O___;6646 XX__;5656 XXXX;;;;;;
1122 ____;3345 O___;6646 XXO_;5666 XXO_;6663 XXXX;;;;;
1122 ____;3345 O___;6646 XXO_;5666 XXOO;6566 XXXX;;;;;
1122 ____;3345 O___;6646 XXO_;5666 XXXX;;;;;;
1122 ____;3345 O___;6646 XXOO;1416 OO__;6664 XXXX;;;;;
1122 ____;3345 O___;6646 XXOO;1416 XO__;4666 XXXX;;;;;
1122 ____;3345 O___;6646 XXOO;1416 XX__;6466 XXXX;;;;;
1122 ____;3345 O___;6646 XXX_;6636 XXX_;6656 XXXX;;;;;
1122 ____;3345 O___;6646 XXX_;6636 XXXX;;;;;;
1122 ____;3345 OO__;6634 O___;5553 XXXX;;;;;;
1122 ____;3345 OO__;6634 OO__;4556 XOO_;5563 XXXX;;;;;
1122 ____;3345 OO__;6634 OO__;4556 XXOO;5456 XXXX;;;;;
1122 ____;3345 OO__;6634 OO__;4556 XXX_;4456 XXXX;;;;;
1122 ____;3345 OO__;6634 OO__;4556 XXXX;;;;;;
1122 ____;3345 OO__;6634 OOO_;4566 XX__;4463 XXXX;;;;;
1122 ____;3345 OO__;6634 OOO_;4566 XXOO;5466 XXXX;;;;;
1122 ____;3345 OO__;6634 OOO_;4566 XXXX;;;;;;
1122 ____;3345 OO__;6634 X___;1444 X___;5554 XXXX;;;;;
1122 ____;3345 OO__;6634 X___;1444 XO__;4554 XXXX;;;;;
1122 ____;3345 OO__;6634 X___;1444 XX__;5454 XXXX;;;;;
1122 ____;3345 OO__;6634 X___;1444 XXO_;4454 XXXX;;;;;
1122 ____;3345 OO__;6634 XO__;5653 OO__;4564 XXXX;;;;;
1122 ____;3345 OO__;6634 XO__;5653 XO__;5464 XXXX;;;;;
1122 ____;3345 OO__;6634 XO__;5653 XOO_;5564 XXXX;;;;;
1122 ____;3345 OO__;6634 XO__;5653 XOOO;5536 XXXX;;;;;
1122 ____;3345 OO__;6634 XO__;5653 XXOO;6553 XXXX;;;;;
1122 ____;3345 OO__;6634 XO__;5653 XXXX;;;;;;
1122 ____;3345 OO__;6634 XOO_;4656 OOO_;6563 XXXX;;;;;
1122 ____;3345 OO__;6634 XOO_;4656 XOO_;5663 XXXX;;;;;
1122 ____;3345 OO__;6634 XOO_;4656 XX__;4436 XXXX;;;;;
1122 ____;3345 OO__;6634 XOO_;4656 XXOO;6456 XXXX;;;;;
1122 ____;3345 OO__;6634 XOO_;4656 XXXX;;;;;;
1122 ____;3345 OO__;6634 XOOO;4663 XXOO;6463 XXXX;;;;;
1122 ____;3345 OO__;6634 XOOO;4663 XXXX;;;;;;
1122 ____;3345 OO__;6634 XX__;4654 XX__;4434 XXXX;;;;;
1122 ____;3345 OO__;6634 XX__;4654 XXO_;6554 XXXX;;;;;
1122 ____;3345 OO__;6634 XX__;4654 XXOO;6454 XXXX;;;;;
1122 ____;3345 OO__;6634 XX__;4654 XXX_;5654 XXXX;;;;;
1122 ____;3345 OO__;6634 XX__;4654 XXXX;;;;;;
1122 ____;3345 OO__;6634 XXO_;5636 OOO_;6564 XXXX;;;;;
1122 ____;3345 OO__;6634 XXO_;5636 XOOO;6653 XXXX;;;;;
1122 ____;3345 OO__;6634 XXO_;5636 XXO_;5664 XXXX;;;;;
1122 ____;3345 OO__;6634 XXO_;5636 XXOO;6536 XXXX;;;;;
